device,canonical_filename,original_filename,sha256,bytes,release_status,privacy_review
mac,2026-08-07-daily.png,Screenshot 2026-08-31 at 04.13.35.png,9f25f8880fcdb3655daa2d9cac8bd3e7223ddddcd14294a072572b6b98157249,72717,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-06-daily.png,Screenshot 2026-08-31 at 04.13.48.png,c08981da351d47a12d8019fff7b6cbd53e2002d29ea4613cb75952465eecbb2d,90047,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-05-daily.png,Screenshot 2026-08-31 at 04.13.55.png,98a775a800a01c7123112093061d0a28c8a199868875e3a00610c465a9b28467,90890,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-04-daily.png,Screenshot 2026-08-31 at 04.14.01.png,abc5ca183f083546dfa4f61d99562c6e100c910190de3649ad6131a96988f45c,88432,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-03-daily.png,Screenshot 2026-08-31 at 04.14.07.png,01d407adaa3a164b8cd5efa244eca11feec4e803e5ba30d55e893bf4b9affd2c,88132,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-02-daily.png,Screenshot 2026-08-31 at 04.14.13.png,ee0b1449f64fd48472e87247558d5a6ef7c86cf26690856521d4ea52732e54d0,94950,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-01-daily.png,Screenshot 2026-08-31 at 04.14.31.png,26df719736fed29b629edb386f1c0afad4b23a626f098f3d6f0031993a5352d1,84426,public-original,visual review: no unrelated sensitive identifiers observed
iphone,2026-08-31-battery-usage-partial.png,IMG_7519.png,b4e95ae8ef1baa820627c7fbfdf7b0f08f14c4eb6761c493f606f8f8ed500718,204643,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-31-week-to-date-screen-time.jpeg,IMG_7520(1).jpeg,e3129f56f525a7b38aa1fcb5b00016a5b21a48e5b827c30a5cd2eee71bb4a6fe,186310,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-31-screen-time-partial.jpeg,IMG_7521(1).jpeg,8783a991141012381a7efad71e11ae4731513ad3e9678ac225f38396cf0f318d,166031,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-30-screen-time.jpeg,IMG_7522(1).jpeg,40ed84388cf5b9e5c36d4c71ff735e8184dd6c996cdb9a04e03b3e84ec65fc70,204790,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-29-screen-time.jpeg,IMG_7523(1).jpeg,8ab30ec0f9301384df218acc0ecf91efb3cac3174ef07042d7055f175b915bdc,181329,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-31-last-week-average.jpeg,IMG_7524(1).jpeg,79ad25a58e7a642dab8eb15d9fb912631eec26fd1455b0ac36d1112cc58a4e5a,145527,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-10-screen-time.jpeg,IMG_7525(1).jpeg,9aa8dbcb6761ac25a88a7e07d29e47d67b9e44313ec244a9d255de3615aa1b33,227492,public-original,display name is @@; no unrelated private content observed
iphone,2026-08-09-screen-time.jpeg,IMG_7526(1).jpeg,43ec2736137b7dacbde426f82a1876567fcef5e6a8eac1d7e180b8aaa4766f3e,199594,public-original,display name is @@; no unrelated private content observed
